path,hit
0,0
1,0
2,0
3,12
4,427
5,0
6,570
7,143
8,191
9,0
10,417
11,0
12,6
13,1
14,0
15,26
16,25
17,24
18,76
19,0
20,0
21,0
22,0
23,13
24,0
25,0
26,0
27,0
28,124
29,0
30,0
31,122
32,0
33,317
34,95
35,0
36,1
37,1
38,421
39,229
40,209
41,3
42,0
43,1
44,3
45,219
46,2
47,0
48,273
49,0
50,195
51,0
52,1
53,1
54,0
55,0
56,0
57,396
58,0
59,0
60,0
61,0
62,1
63,77
64,136
65,0
66,136
67,0
68,0
69,196
70,1
71,1
72,0
73,0
74,2
75,2
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,11
91,65
92,1369
93,1
94,2
95,1
96,0
97,0
98,0
99,0
