path,hit
0,0
1,0
2,0
3,12
4,1144
5,0
6,1526
7,382
8,468
9,0
10,1134
11,0
12,5
13,1
14,0
15,68
16,63
17,62
18,173
19,0
20,0
21,0
22,0
23,64
24,0
25,0
26,0
27,0
28,347
29,0
30,0
31,344
32,0
33,875
34,248
35,0
36,1
37,1
38,1239
39,621
40,541
41,3
42,0
43,1
44,3
45,552
46,3
47,0
48,746
49,0
50,512
51,0
52,1
53,1
54,0
55,0
56,0
57,1093
58,0
59,0
60,0
61,0
62,1
63,293
64,373
65,0
66,373
67,0
68,0
69,513
70,1
71,1
72,0
73,0
74,2
75,2
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,36
91,289
92,3827
93,3
94,3
95,1
96,0
97,0
98,0
99,0
