path,hit
0,0
1,0
2,0
3,12
4,2383
5,0
6,3178
7,795
8,890
9,0
10,2373
11,0
12,6
13,1
14,0
15,124
16,123
17,122
18,352
19,0
20,0
21,0
22,0
23,62
24,0
25,0
26,0
27,0
28,679
29,0
30,0
31,677
32,0
33,1881
34,487
35,0
36,1
37,1
38,2243
39,1203
40,1137
41,3
42,0
43,1
44,3
45,1147
46,2
47,0
48,1577
49,0
50,1027
51,0
52,1
53,1
54,0
55,0
56,0
57,2255
58,0
59,0
60,0
61,0
62,1
63,371
64,788
65,0
66,788
67,0
68,0
69,1028
70,1
71,1
72,0
73,0
74,2
75,2
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,62
91,310
92,7707
93,1
94,2
95,1
96,0
97,0
98,0
99,0
