path,hit
0,0
1,0
2,0
3,12
4,499
5,0
6,666
7,167
8,190
9,0
10,489
11,0
12,6
13,1
14,0
15,29
16,28
17,27
18,73
19,0
20,0
21,0
22,0
23,15
24,0
25,0
26,0
27,0
28,156
29,0
30,0
31,154
32,0
33,373
34,111
35,0
36,1
37,1
38,482
39,258
40,230
41,3
42,0
43,1
44,3
45,240
46,2
47,0
48,321
49,0
50,224
51,0
52,1
53,1
54,0
55,0
56,0
57,476
58,0
59,0
60,0
61,0
62,1
63,88
64,160
65,0
66,167
67,0
68,0
69,225
70,1
71,1
72,0
73,0
74,2
75,2
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,13
91,75
92,1606
93,1
94,2
95,1
96,0
97,0
98,0
99,0
